"Numéro";"N° Etiquette";"Commune de Prélèvement";"GIC";"Mode Prélt";"Nom";"Date de Mort";"MOIS";"Saison";"saison reprod";"Poids";"Sexe";"Prvt Utérus";"Femelle Allaitante";"Foetus (DSV)";"Femelle non repro";"Phase pré-implan-tatoire";"Nbre d'Emb";"Nbre de res";"Nbre de Cicat Année n";"Nbre de cic de res ou de n-1";"Prvt Dent";"Agedents";"Remarques";"reprod";"nbrepro";"Age"
135;"80";"10181";"S";"C";"CORPEL";22/1/2006 00:00:00;1;1.00;1;6.40;"M";;;;;;;;;;"O";0.00;;;;0
136;"226";"10432";"S";"C";"CHARLOT";22/1/2006 00:00:00;1;1.00;1;6.09;"F";"N";"N";;;;;;;;"N";;;;;
137;"217";"10438";"B";"P";"MARTINOT";23/1/2006 00:00:00;1;1.00;1;6.00;"M";;;;;;;;;;"O";0.00;;;;0
138;"190";"10181";"S";"P";"RICHON";25/1/2006 00:00:00;1;1.00;1;6.40;"M";;;;;;;;;;"O";5.00;;;;5
139;"225";"10252";"B";"P";"CAILLE";25/1/2006 00:00:00;1;1.00;1;6.80;"M";;;;;;;;;;"O";2.00;;;;2
140;"212";"10213";"B";"P";"THIERRY";27/1/2006 00:00:00;1;1.00;1;5.80;"M";;;;;;;;;;"O";1.00;;;;1
141;"218";"10252";"B";"P";"OLIVIER";27/1/2006 00:00:00;1;1.00;1;5.69;"M";;;;;;;;;;"O";0.00;;;;0
142;"213";"10215";"B";"C";"BILLIOUT";28/1/2006 00:00:00;1;1.00;1;8.19;"M";;;;;;;;;;"O";1.00;;;;1
143;"219";"10252";"B";"P";"CAILLE";28/1/2006 00:00:00;1;1.00;1;6.00;"F";"O";"N";;;"x";;;;;"O";2.00;;"PI";;2
144;"221";"10215";"B";"P";"PIETREMONT";28/1/2006 00:00:00;1;1.00;1;5.69;"M";;;;;;;;;;"O";0.00;;;;0
145;"223";"10215";"B";"C";"TAM";28/1/2006 00:00:00;1;1.00;0;5.30;"F";"O";"N";;;;;;"3";;"O";2.00;;"CP";3;2
